nick_saraceni	@alsil23 @Stanford @NDFootball Have a great time kids. #bestclass. #bestteacher
Wdekanter	Kings of concealment &amp; racketeers : by Professor Proctor @Stanford   @nytimes #bigtobacco   https://t.co/YdtEBTDYH5
DannaB1	@enlightnup @Stanford Why would anyone go there now what horseshit
DannaB1	RT @enlightnup: What a colossal pile of 💩 @Stanford https://t.co/2DkBDFnyco
RecoveryDoctor	Great article by Robert N Proctor @Stanford @StanfordHistory: A Forced ‘Corrective’ on Cigarettes https://t.co/oltRkSSC6r
Cookiemuffen	RT @JamisonPridgen: @McFaul @Stanford Fascists shut down political opponents ability to freely speak and assemble. It's close enough
JamieSziklay	RT @randyrieland: Before you swat that mosquito, record it on your cell phone @Stanford @PrakashLab https://t.co/vQzwNweJpk via @Smithsonia…
CMasden7	@Harvard @Stanford @Princeton @Yale @UW @CarnegieMellon @UCLA @UCIrvine @Cornell @Columbia @nytimes @FBI @DHSgov… https://t.co/H1wUzxrNy8
CMasden7	@Harvard @Stanford @Princeton @Yale @UW @CarnegieMellon @UCLA @UCIrvine @Cornell @Columbia @nytimes @fbi @dhsgov… https://t.co/fUkTeFvO5j
Lisa_marieskye	RT @KTVU: Judge Persky, who sentenced former @Stanford student-now registered sex offender Brock Turner to 6-months jail, requests new assi…
MonashPharm	RT @JoeNicolazzo: Very happy to be hosting @LiddelowSA from @Stanford at @MonashPharm for CVB 2017. Welcome back home Shane #cvboz https://…
enlightnup	What a colossal pile of 💩 @Stanford https://t.co/2DkBDFnyco
pedrodeabreu	RT @Stanford: Gratitude brings more sustainable happiness than rewards based in immediate gratification, says @emmaseppala. https://t.co/Hz…
lhgechter	@Stanford explain???? Why did you use his mugshot???? https://t.co/jGoD3Mhw4w
JoeNicolazzo	Very happy to be hosting @LiddelowSA from @Stanford at @MonashPharm for CVB 2017. Welcome back home Shane #cvboz https://t.co/AjGy5B0Iv4
VRFocus	Anxiety tackling experience Soteria VR receives Audience Choice Award from @Stanford: https://t.co/0GgmsZRnSI https://t.co/mGJL3x9dOp
casandra_mclure	@ObigailFrenchie &amp; I had a fantastic time at the cactus garden today! 🌵🌵🌵 @stanford… https://t.co/SudSXLM4Es
Punjikasthala	RT @Stanford: Is there a pesky mosquito buzzing in your ear? Manu Prakash wants you to take out your phone and start recording it. https://…
XWadeWilsonx	@OhioStateHoops @Stanford  it’s almost 11:15 let’s go. https://t.co/EXybdzJ4Qb
roo_kanger	@twiddledenotdum @dave67_david @mivoicetoo @BehrouzBoochani @Stanford Never said all people have the same degree of… https://t.co/xUgRt1jwiQ
cloverart19	@Stanford , in May I visited the gates of hell art piece and saw other pieces in the courtyard. How come some were covered up?
nataliedeuitch	RT @KVlessis: As a future genetic counselor and after listening to @annewoj23 speak @Stanford the other week about @23andMe , this article…
